ID Region,ID,Nombre
1,10301,"Camiña"
1,10302,"Huara"
1,10303,"Pozo Almonte"
1,10304,"Iquique"
1,10305,"Pica"
1,10306,"Colchane"
1,10307,"Alto Hospicio"
2,20101,"Tocopilla"
2,20102,"Maria Elena"
2,20201,"Ollague"
2,20202,"Calama"
2,20203,"San Pedro Atacama"
2,20301,"Sierra Gorda"
2,20302,"Mejillones"
2,20303,"Antofagasta"
2,20304,"Taltal"
3,30101,"Diego de Almagro"
3,30102,"Chañaral"
3,30201,"Caldera"
3,30202,"Copiapo"
3,30203,"Tierra Amarilla"
3,30301,"Huasco"
3,30302,"Freirina"
3,30303,"Vallenar"
3,30304,"Alto del Carmen"
4,40101,"La Higuera"
4,40102,"La Serena"
4,40103,"Vicuña"
4,40104,"Paihuano"
4,40105,"Coquimbo"
4,40106,"Andacollo"
4,40201,"Rio Hurtado"
4,40202,"Ovalle"
4,40203,"Monte Patria"
4,40204,"Punitaqui"
4,40205,"Combarbala"
4,40301,"Mincha"
4,40302,"Illapel"
4,40303,"Salamanca"
4,40304,"Los Vilos"
5,50101,"Petorca"
5,50102,"Cabildo"
5,50103,"Papudo"
5,50104,"La Ligua"
5,50105,"Zapallar"
5,50201,"Putaendo"
5,50202,"Santa Maria"
5,50203,"San Felipe"
5,50204,"Pencahue"
5,50205,"Catemu"
5,50206,"Llay Llay"
5,50301,"Nogales"
5,50302,"La Calera"
5,50303,"Hijuelas"
5,50304,"La Cruz"
5,50305,"Quillota"
5,50306,"Olmue"
5,50307,"Limache"
5,50401,"Los Andes"
5,50402,"Rinconada"
5,50403,"Calle Larga"
5,50404,"San Esteban"
5,50501,"Puchuncavi"
5,50502,"Quintero"
5,50503,"Viña del Mar"
5,50504,"Villa Alemana"
5,50505,"Quilpue"
5,50506,"Valparaiso"
5,50507,"Juan Fernandez"
5,50508,"Casablanca"
5,50509,"Concon"
5,50601,"Isla de Pascua"
5,50701,"Algarrobo"
5,50702,"El Quisco"
5,50703,"El Tabo"
5,50704,"Cartagena"
5,50705,"San Antonio"
5,50706,"Santo Domingo"
6,60101,"Mostazal"
6,60102,"Codegua"
6,60103,"Graneros"
6,60104,"Machali"
6,60105,"Rancagua"
6,60106,"Olivar"
6,60107,"Doñihue"
6,60108,"Requinoa"
6,60109,"Coinco"
6,60110,"Coltauco"
6,60111,"Quinta Tilcoco"
6,60112,"Las Cabras"
6,60113,"Rengo"
6,60114,"Peumo"
6,60115,"Pichidegua"
6,60116,"Malloa"
6,60117,"San Vicente"
6,60201,"Navidad"
6,60202,"La Estrella"
6,60203,"Marchigue"
6,60204,"Pichilemu"
6,60205,"Litueche"
6,60206,"Paredones"
6,60301,"San Fernando"
6,60302,"Peralillo"
6,60303,"Placilla"
6,60304,"Chimbarongo"
6,60305,"Palmilla"
6,60306,"Nancagua"
6,60307,"Santa Cruz"
6,60308,"Pumanque"
6,60309,"Chepica"
6,60310,"Lolol"
7,70101,"Teno"
7,70102,"Romeral"
7,70103,"Rauco"
7,70104,"Curico"
7,70105,"Sagrada Familia"
7,70106,"Hualañe"
7,70107,"Vichuquen"
7,70108,"Molina"
7,70109,"Licanten"
7,70201,"Rio Claro"
7,70202,"Curepto"
7,70203,"Pelarco"
7,70204,"Talca"
7,70205,"Pencahue"
7,70206,"San Clemente"
7,70207,"Constitucion"
7,70208,"Maule"
7,70209,"Empedrado"
7,70210,"San Rafael"
7,70301,"San Javier"
7,70302,"Colbun"
7,70303,"Villa Alegre"
7,70304,"Yerbas Buenas"
7,70305,"Linares"
7,70306,"Longavi"
7,70307,"Retiro"
7,70308,"Parral"
7,70401,"Chanco"
7,70402,"Pelluhue"
7,70403,"Cauquenes"
16,80101,"Cobquecura"
16,80102,"Ñiquen"
16,80103,"San Fabian"
16,80104,"San Carlos"
16,80105,"Quirihue"
16,80106,"Ninhue"
16,80107,"Trehuaco"
16,80108,"San Nicolas"
16,80109,"Coihueco"
16,80110,"Chillan"
16,80111,"Portezuelo"
16,80112,"Pinto"
16,80113,"Coelemu"
16,80114,"Bulnes"
16,80115,"San Ignacio"
16,80116,"Ranquil"
16,80117,"Quillon"
16,80118,"El Carmen"
16,80119,"Pemuco"
16,80120,"Yungay"
16,80121,"Chillan Viejo"
8,80201,"Tome"
8,80202,"Florida"
8,80203,"Penco"
8,80204,"Talcahuano"
8,80205,"Concepcion"
8,80206,"Hualqui"
8,80207,"Coronel"
8,80208,"Lota"
8,80209,"Santa Juana"
8,80210,"Chiguayante"
8,80211,"San Pedro de la Paz"
8,80212,"Hualpen"
8,80301,"Cabrero"
8,80302,"Yumbel"
8,80303,"Tucapel"
8,80304,"Antuco"
8,80305,"San Rosendo"
8,80306,"Laja"
8,80307,"Quilleco"
8,80308,"Los Angeles"
8,80309,"Nacimiento"
8,80310,"Negrete"
8,80311,"Santa Barbara"
8,80312,"Quilaco"
8,80313,"Mulchen"
8,80314,"Alto Bio Bio"
8,80401,"Arauco"
8,80402,"Curanilahue"
8,80403,"Los Alamos"
8,80404,"Lebu"
8,80405,"Cañete"
8,80406,"Contulmo"
8,80407,"Tirua"
9,90101,"Renaico"
9,90102,"Angol"
9,90103,"Collipulli"
9,90104,"Los Sauces"
9,90105,"Puren"
9,90106,"Ercilla"
9,90107,"Lumaco"
9,90108,"Victoria"
9,90109,"Traiguen"
9,90110,"Curacautin"
9,90111,"Lonquimay"
9,90201,"Perquenco"
9,90202,"Galvarino"
9,90203,"Lautaro"
9,90204,"Vilcun"
9,90205,"Temuco"
9,90206,"Carahue"
9,90207,"Melipeuco"
9,90208,"Nueva Imperial"
9,90209,"Puerto Saavedra"
9,90210,"Cunco"
9,90211,"Freire"
9,90212,"Pitrufquen"
9,90213,"Teodoro Schmidt"
9,90214,"Gorbea"
9,90215,"Pucon"
9,90216,"Villarrica"
9,90217,"Tolten"
9,90218,"Curarrehue"
9,90219,"Loncoche"
9,90220,"Padre Las Casas"
9,90221,"Cholchol"
10,100201,"San Pablo"
10,100202,"San Juan"
10,100203,"Osorno"
10,100204,"Puyehue"
10,100205,"Rio Negro"
10,100206,"Purranque"
10,100207,"Puerto Octay"
10,100301,"Frutillar"
10,100302,"Fresia"
10,100303,"Llanquihue"
10,100304,"Puerto Varas"
10,100305,"Los Muermos"
10,100306,"Puerto Montt"
10,100307,"Maullin"
10,100308,"Calbuco"
10,100309,"Cochamo"
10,100401,"Ancud"
10,100402,"Quemchi"
10,100403,"Dalcahue"
10,100404,"Curaco de Velez"
10,100405,"Castro"
10,100406,"Chonchi"
10,100407,"Queilen"
10,100408,"Quellon"
10,100409,"Quinchao"
10,100410,"Puqueldon"
10,100501,"Chaiten"
10,100502,"Futaleufu"
10,100503,"Palena"
10,100504,"Hualaihue"
11,110101,"Guaitecas"
11,110102,"Cisnes"
11,110103,"Aysen"
11,110201,"Coyhaique"
11,110202,"Lago Verde"
11,110301,"Rio Iba?ez"
11,110302,"Chile Chico"
11,110401,"Cochrane"
11,110402,"Tortel"
11,110403,"O""Higins"
12,120101,"Torres del Paine"
12,120102,"Puerto Natales"
12,120201,"Laguna Blanca"
12,120202,"San Gregorio"
12,120203,"Rio Verde"
12,120204,"Punta Arenas"
12,120301,"Porvenir"
12,120302,"Primavera"
12,120303,"Timaukel"
12,120401,"Antartica"
13,130101,"Tiltil"
13,130102,"Colina"
13,130103,"Lampa"
13,130201,"Conchali"
13,130202,"Quilicura"
13,130203,"Renca"
13,130204,"Las Condes"
13,130205,"Pudahuel"
13,130206,"Quinta Normal"
13,130207,"Providencia"
13,130208,"Santiago"
13,130209,"La Reina"
13,130210,"Ñuñoa"
13,130211,"San Miguel"
13,130212,"Maipú"
13,130213,"La Cisterna"
13,130214,"La Florida"
13,130215,"La Granja"
13,130216,"Independencia"
13,130217,"Huechuraba"
13,130218,"Recoleta"
13,130219,"Vitacura"
13,130220,"Lo Barrenechea"
13,130221,"Macul"
13,130222,"Peñalolén"
13,130223,"San Joaquín"
13,130224,"La Pintana"
13,130225,"San Ramon"
13,130226,"El Bosque"
13,130227,"Pedro Aguirre Cerda"
13,130228,"Lo Espejo"
13,130229,"Estacion Central"
13,130230,"Cerrillos"
13,130231,"Lo Prado"
13,130232,"Cerro Navia"
13,130301,"San José de Maipo"
13,130302,"Puente Alto"
13,130303,"Pirque"
13,130401,"San Bernardo"
13,130402,"Calera de Tango"
13,130403,"Buin"
13,130404,"Paine"
13,130501,"Peñaflor"
13,130502,"Talagante"
13,130503,"El Monte"
13,130504,"Isla de Maipo"
13,130601,"Curacavi"
13,130602,"María Pinto"
13,130603,"Melipilla"
13,130604,"San Pedro"
13,130605,"Alhué"
13,130606,"Padre Hurtado"
14,100101,"Lanco"
14,100102,"Mariquina"
14,100103,"Panguipulli"
14,100104,"Mafil"
14,100105,"Valdivia"
14,100106,"Los Lagos"
14,100107,"Corral"
14,100108,"Paillaco"
14,100109,"Futrono"
14,100110,"Lago Ranco"
14,100111,"La Union"
14,100112,"Rio Bueno"
15,10101,"Gral. Lagos"
15,10102,"Putre"
15,10201,"Arica"
15,10202,"Camarones"